,地区,发病数,死亡数,发病率,死亡率,年份
0,全国,49496,15,3.8077,0.0012,2004
1,北京市,8,0,0.0540,0,2004
2,天津市,13,0,0.1399,0,2004
3,河北省,1923,0,2.8283,0,2004
4,山西省,57,0,0.1720,0,2004
5,内蒙古,106,0,0.4446,0,2004
6,辽宁省,4,0,0.0096,0,2004
7,吉林省,4,0,0.0150,0,2004
8,黑龙江,17,0,0.0453,0,2004
9,上海市,15,0,0.1121,0,2004
10,江苏省,370,0,0.4889,0,2004
11,浙江省,3780,0,8.0430,0,2004
12,安徽省,744,0,1.1547,0,2004
13,福建省,685,0,1.9051,0,2004
14,江西省,1497,0,3.4948,0,2004
15,山东省,157,0,0.1712,0,2004
16,河南省,772,0,0.7965,0,2004
17,湖北省,159,0,0.2646,0,2004
18,湖南省,1010,0,1.5121,0,2004
19,广东省,4973,1,6.2520,0.0013,2004
20,广西,8605,0,17.7209,0,2004
21,海南省,125,0,1.5352,0,2004
22,重庆市,3351,0,10.7057,0,2004
23,四川省,12560,11,14.4138,0.0126,2004
24,贵州省,5583,2,14.6039,0.0052,2004
25,云南省,3,0,0.0069,0,2004
26,西藏,429,0,16.4267,0,2004
27,陕西省,1050,0,2.8703,0,2004
28,甘肃省,978,0,3.7416,0,2004
29,青海省,230,1,4.2627,0.0185,2004
30,宁夏,193,0,3.3051,0,2004
31,新疆,95,0,0.5106,0,2004
0,全    国,45672,5,3.5136,0.0004,2005
1,北京市,120,0,0.7811,0,2005
2,天津市,377,1,3.6197,0.0096,2005
3,河北省,3916,0,5.7508,0,2005
4,山西省,79,0,0.2369,0,2005
5,内蒙古,54,0,0.2274,0,2005
6,辽宁省,66,0,0.1565,0,2005
7,吉林省,30,0,0.1107,0,2005
8,黑龙江,65,0,0.1706,0,2005
9,上海市,8,0,0.0450,0,2005
10,江苏省,1028,0,1.3783,0,2005
11,浙江省,1998,0,4.0997,0,2005
12,安徽省,1097,0,1.8036,0,2005
13,福建省,477,0,1.3574,0,2005
14,江西省,1266,0,2.9597,0,2005
15,山东省,96,0,0.1044,0,2005
16,河南省,1885,1,2.0201,0.0011,2005
17,湖北省,1205,1,2.1168,0.0018,2005
18,湖南省,664,0,1.0550,0,2005
19,广东省,5913,2,6.4765,0.0022,2005
20,广    西,3234,0,6.9965,0,2005
21,海南省,351,0,4.2770,0,2005
22,重庆市,2343,0,8.3989,0,2005
23,四川省,5157,0,6.2981,0,2005
24,贵州省,6838,0,18.4677,0,2005
25,云南省,3753,0,8.5011,0,2005
26,西    藏,759,0,27.6898,0,2005
27,陕西省,342,0,0.9230,0,2005
28,甘肃省,1110,0,4.3049,0,2005
29,青海省,190,0,3.5323,0,2005
30,宁    夏,265,0,4.4951,0,2005
31,新    疆,986,0,4.9613,0,2005
32,建设兵团,198,0,7.7886,0,2005
0,全    国,57557,4,4.4019,0.0003,2006
1,北京市,290,0,1.8855,0,2006
2,天津市,1676,0,16.0690,0,2006
3,河北省,7117,0,10.3883,0,2006
4,山西省,721,0,2.1490,0,2006
5,内蒙古,2291,0,9.6018,0,2006
6,辽宁省,89,0,0.2109,0,2006
7,吉林省,50,0,0.1841,0,2006
8,黑龙江省,24,0,0.0628,0,2006
9,上海市,77,0,0.4331,0,2006
10,江苏省,4658,0,6.2314,0,2006
11,浙江省,4298,1,8.7750,0.0020,2006
12,安徽省,1431,0,2.3382,0,2006
13,福建省,614,0,1.7369,0,2006
14,江西省,2039,1,4.7298,0.0023,2006
15,山东省,163,0,0.1763,0,2006
16,河南省,2991,0,3.1887,0,2006
17,湖北省,1565,0,2.7408,0,2006
18,湖南省,894,0,1.4132,0,2006
19,广东省,8070,0,8.7775,0,2006
20,广    西,1999,1,4.2897,0.0021,2006
21,海南省,48,0,0.5797,0,2006
22,重庆市,1161,0,4.1494,0,2006
23,四川省,2054,0,2.5012,0,2006
24,贵州省,1764,0,4.7292,0,2006
25,云南省,4487,1,10.0833,0.0022,2006
26,西    藏,670,0,24.1820,0,2006
27,陕西省,354,0,0.9516,0,2006
28,甘肃省,4212,0,16.2374,0,2006
29,青海省,177,0,3.2597,0,2006
30,宁    夏,315,0,5.2852,0,2006
31,新    疆,1258,0,6.2587,0,2006
32,建设兵团,261,0,10.1566,0,2006
0,全    国,36434,2,2.7718,0.0002,2007
1,北京市,221,0,1.3978,0,2007
2,天津市,831,0,7.7302,0,2007
3,河北省,8679,0,12.5819,0,2007
4,山西省,265,0,0.7852,0,2007
5,内蒙古,293,0,1.2224,0,2007
6,辽宁省,129,0,0.3020,0,2007
7,吉林省,167,0,0.6133,0,2007
8,黑龙江省,52,0,0.1360,0,2007
9,上海市,404,0,2.2259,0,2007
10,江苏省,1969,0,2.6079,0,2007
11,浙江省,936,0,1.8795,0,2007
12,安徽省,925,0,1.5139,0,2007
13,福建省,361,0,1.0146,0,2007
14,江西省,1093,0,2.5189,0,2007
15,山东省,292,0,0.3137,0,2007
16,河南省,2710,0,2.8854,0,2007
17,湖北省,1802,0,3.1653,0,2007
18,湖南省,1918,1,3.0243,0.0016,2007
19,广东省,2800,0,3.0095,0,2007
20,广    西,931,0,1.9729,0,2007
21,海南省,100,0,1.1962,0,2007
22,重庆市,669,0,2.3825,0,2007
23,四川省,1732,0,2.1202,0,2007
24,贵州省,1063,0,2.8293,0,2007
25,云南省,435,0,0.9703,0,2007
26,西    藏,539,0,19.1823,0,2007
27,陕西省,348,0,0.9317,0,2007
28,甘肃省,3689,0,14.1557,0,2007
29,青海省,103,0,1.8796,0,2007
30,宁    夏,547,0,9.0563,0,2007
31,新疆,431,1,2.1024,0.0049,2007
32,建设兵团,10,0,0.3877,0,2007
0,全    国,41692,3,3.1554,0.0002,2008
1,北京市,335,0,2.0514,0,2008
2,天津市,597,0,5.3542,0,2008
3,河北省,11615,0,16.7291,0,2008
4,山西省,172,0,0.5069,0,2008
5,内蒙古,48,0,0.1996,0,2008
6,辽宁省,62,0,0.1443,0,2008
7,吉林省,149,1,0.5458,0.0037,2008
8,黑龙江省,84,0,0.2197,0,2008
9,上海市,269,0,1.4478,0,2008
10,江苏省,575,0,0.7541,0,2008
11,浙江省,894,0,1.7668,0,2008
12,安徽省,675,0,1.1033,0,2008
13,福建省,884,0,2.4686,0,2008
14,江西省,1680,0,3.8461,0,2008
15,山东省,429,0,0.4580,0,2008
16,河南省,3594,0,3.8397,0,2008
17,湖北省,1834,0,3.2181,0,2008
18,湖南省,3621,0,5.6979,0,2008
19,广东省,3334,1,3.5284,0.0011,2008
20,广    西,955,0,2.0029,0,2008
21,海南省,63,0,0.7456,0,2008
22,重庆市,1787,0,6.3459,0,2008
23,四川省,1707,0,2.1004,0,2008
24,贵州省,1612,0,4.2850,0,2008
25,云南省,395,1,0.8751,0.0022,2008
26,西    藏,123,0,4.3309,0,2008
27,陕西省,346,0,0.9232,0,2008
28,甘肃省,2522,0,9.6369,0,2008
29,青海省,47,0,0.8515,0,2008
30,宁    夏,684,0,11.2132,0,2008
31,新疆,600,0,2.8640,0,2008
32,建设兵团,5,0,0.1934,0,2008
0,全    国,198381,13,14.9381,0.0010,2009
1,北京市,5147,5,30.3658,0.0295,2009
2,天津市,707,0,6.0119,0,2009
3,河北省,15081,0,21.5786,0,2009
4,山西省,2456,0,7.2011,0,2009
5,内蒙古,1918,0,7.9462,0,2009
6,辽宁省,775,0,1.7962,0,2009
7,吉林省,343,0,1.2546,0,2009
8,黑龙江省,1407,0,3.6785,0,2009
9,上海市,1391,0,7.3658,0,2009
10,江苏省,5255,0,6.8449,0,2009
11,浙江省,7288,0,14.2344,0,2009
12,安徽省,3490,2,5.6887,0.0033,2009
13,福建省,6041,0,16.6301,0,2009
14,江西省,6257,0,14.2205,0,2009
15,山东省,4559,2,4.8411,0.0021,2009
16,河南省,8849,0,9.3849,0,2009
17,湖北省,15444,0,27.0425,0,2009
18,湖南省,19514,0,30.5633,0,2009
19,广东省,20155,0,21.1180,0,2009
20,广    西,11969,0,24.8526,0,2009
21,海南省,576,0,6.7448,0,2009
22,重庆市,11640,0,41.0004,0,2009
23,四川省,9517,1,11.6308,0.0012,2009
24,贵州省,10472,1,27.6398,0.0026,2009
25,云南省,7664,0,16.8699,0,2009
26,西    藏,184,0,6.4113,0,2009
27,陕西省,6287,2,16.7119,0.0053,2009
28,甘肃省,7966,0,30.3106,0,2009
29,青海省,211,0,3.8066,0,2009
30,宁    夏,2870,0,47.3922,0,2009
31,新疆,2948,0,13.8352,0,2009
32,建设兵团,340,0,13.2138,0,2009
0,全    国,64502,7,4.8326,0.0005,2010
1,北京市,830,0,4.7293,0,2010
2,天津市,523,0,4.2584,0,2010
3,河北省,13679,0,19.4459,0,2010
4,山西省,787,0,2.2962,0,2010
5,内蒙古,338,3,1.3955,0.0124,2010
6,辽宁省,1240,0,2.8710,0,2010
7,吉林省,717,0,2.6172,0,2010
8,黑龙江省,537,0,1.4036,0,2010
9,上海市,2429,0,12.6444,0,2010
10,江苏省,2267,0,2.9346,0,2010
11,浙江省,3257,0,6.2876,0,2010
12,安徽省,2664,0,4.3451,0,2010
13,福建省,2101,0,5.7927,0,2010
14,江西省,2550,0,5.7534,0,2010
15,山东省,3075,0,3.2470,0,2010
16,河南省,3936,1,4.1488,0.0011,2010
17,湖北省,1994,0,3.4860,0,2010
18,湖南省,4390,0,6.8529,0,2010
19,广东省,5957,1,6.1807,0.0010,2010
20,广    西,1233,0,2.5391,0,2010
21,海南省,206,0,2.3841,0,2010
22,重庆市,960,1,3.3578,0.0035,2010
23,四川省,1530,1,1.8693,0.0012,2010
24,贵州省,1256,0,3.3070,0,2010
25,云南省,723,0,1.5817,0,2010
26,西    藏,63,0,2.1723,0,2010
27,陕西省,640,0,1.6967,0,2010
28,甘肃省,2276,0,8.6361,0,2010
29,青海省,97,0,1.7405,0,2010
30,宁    夏,1348,0,21.5610,0,2010
31,新疆,899,0,4.1647,0,2010
32,建设兵团,52,0,2.0209,0,2010
0,全    国,66133,4,4.9319,0.0003,2011
1,北京市,391,1,1.9936,0.0051,2011
2,天津市,415,0,3.2075,0,2011
3,河北省,16423,2,22.8559,0.0028,2011
4,山西省,1584,0,4.4355,0,2011
5,内蒙古,518,0,2.0966,0,2011
6,辽宁省,242,0,0.5532,0,2011
7,吉林省,266,0,0.9686,0,2011
8,黑龙江省,267,0,0.6969,0,2011
9,上海市,1315,0,5.7126,0,2011
10,江苏省,1006,1,1.2789,0.0013,2011
11,浙江省,1995,0,3.6655,0,2011
12,安徽省,3264,0,5.4857,0,2011
13,福建省,2278,0,6.1744,0,2011
14,江西省,3845,0,8.6273,0,2011
15,山东省,2313,0,2.4146,0,2011
16,河南省,6262,0,6.6595,0,2011
17,湖北省,3113,0,5.4387,0,2011
18,湖南省,5256,0,8.0020,0,2011
19,广东省,4599,0,4.4093,0,2011
20,广    西,1241,0,2.6963,0,2011
21,海南省,101,0,1.1647,0,2011
22,重庆市,1152,0,3.9936,0,2011
23,四川省,1467,0,1.8242,0,2011
24,贵州省,878,0,2.5269,0,2011
25,云南省,971,0,2.1124,0,2011
26,西    藏,91,0,3.0340,0,2011
27,陕西省,1348,0,3.6113,0,2011
28,甘肃省,2724,0,10.6509,0,2011
29,青海省,148,0,2.6303,0,2011
30,宁    夏,444,0,7.0461,0,2011
31,新疆,216,0,0.9901,0,2011
32,建设兵团,26,0,1.0104,0,2011
0,全    国,122140,4,9.0652,0.0003,2012
1,北京市,1003,0,4.9688,0,2012
2,天津市,1004,1,7.4119,0.0074,2012
3,河北省,20734,0,28.6361,0,2012
4,山西省,6209,0,17.2795,0,2012
5,内蒙古,1759,0,7.0879,0,2012
6,辽宁省,898,0,2.0488,0,2012
7,吉林省,886,0,3.2225,0,2012
8,黑龙江省,454,0,1.1841,0,2012
9,上海市,4034,0,17.1845,0,2012
10,江苏省,2809,0,3.5562,0,2012
11,浙江省,2903,0,5.3139,0,2012
12,安徽省,5660,0,9.4839,0,2012
13,福建省,4571,0,12.2876,0,2012
14,江西省,5222,0,11.6344,0,2012
15,山东省,4148,0,4.3041,0,2012
16,河南省,11018,0,11.7363,0,2012
17,湖北省,5474,0,9.5068,0,2012
18,湖南省,6593,1,9.9961,0.0015,2012
19,广东省,12947,1,12.3246,0.0010,2012
20,广    西,2474,0,5.3262,0,2012
21,海南省,415,0,4.7300,0,2012
22,重庆市,2560,0,8.7701,0,2012
23,四川省,2455,0,3.0497,0,2012
24,贵州省,1834,0,5.2868,0,2012
25,云南省,2071,1,4.4720,0.0022,2012
26,西    藏,27,0,0.8902,0,2012
27,陕西省,4218,0,11.2702,0,2012
28,甘肃省,5194,0,20.2559,0,2012
29,青海省,254,0,4.4705,0,2012
30,宁    夏,1416,0,22.1440,0,2012
31,新疆,896,0,4.0567,0,2012
32,建设兵团,69,0,2.6399,0,2012
0,全    国,129873,14,9.5915,0.0010,2013
1,北京市,2368,2,11.4435,0.0097,2013
2,天津市,631,0,4.4652,0,2013
3,河北省,21082,0,28.9289,0,2013
4,山西省,5954,0,16.4893,0,2013
5,内蒙古,1649,0,6.6229,0,2013
6,辽宁省,1313,0,2.9916,0,2013
7,吉林省,584,0,2.1233,0,2013
8,黑龙江省,154,0,0.4017,0,2013
9,上海市,2120,1,8.9060,0.0042,2013
10,江苏省,2450,0,3.0934,0,2013
11,浙江省,3302,0,6.0288,0,2013
12,安徽省,5983,0,9.9917,0,2013
13,福建省,4775,1,12.7401,0.0027,2013
14,江西省,5773,1,12.8178,0.0022,2013
15,山东省,3877,0,4.0032,0,2013
16,河南省,13505,3,14.3579,0.0032,2013
17,湖北省,3469,0,6.0028,0,2013
18,湖南省,8136,2,12.2550,0.0030,2013
19,广东省,17327,2,16.3555,0.0019,2013
20,广    西,3043,0,6.4994,0,2013
21,海南省,536,0,6.0459,0,2013
22,重庆市,1966,1,6.6757,0.0034,2013
23,四川省,1971,0,2.4405,0,2013
24,贵州省,2781,0,7.9822,0,2013
25,云南省,2839,0,6.0936,0,2013
26,西    藏,7,0,0.2273,0,2013
27,陕西省,4936,0,13.1518,0,2013
28,甘肃省,4916,0,19.0724,0,2013
29,青海省,487,0,8.4966,0,2013
30,宁    夏,1030,1,15.9150,0.0155,2013
31,新疆,909,0,4.0712,0,2013
32,建设兵团,60,0,2.2653,0,2013
0,全    国,215533,43,15.9045,0.0032,2014
1,北京市,10376,5,49.0637,0.0236,2014
2,天津市,2313,2,15.7111,0.0136,2014
3,河北省,25054,1,34.1679,0.0014,2014
4,山西省,8109,1,22.3401,0.0028,2014
5,内蒙古,2376,0,9.5131,0,2014
6,辽宁省,1751,0,3.9886,0,2014
7,吉林省,1063,0,3.8637,0,2014
8,黑龙江省,796,2,2.0756,0.0052,2014
9,上海市,4872,0,20.1727,0,2014
10,江苏省,3998,1,5.0356,0.0013,2014
11,浙江省,9700,1,17.6428,0.0018,2014
12,安徽省,9652,4,16.0072,0.0066,2014
13,福建省,8503,1,22.5305,0.0026,2014
14,江西省,8036,0,17.7703,0,2014
15,山东省,6153,2,6.3215,0.0021,2014
16,河南省,15639,3,16.6136,0.0032,2014
17,湖北省,5065,2,8.7343,0.0034,2014
18,湖南省,10617,3,15.8685,0.0045,2014
19,广东省,50788,3,47.7151,0.0028,2014
20,广    西,5438,3,11.5236,0.0064,2014
21,海南省,863,0,9.6394,0,2014
22,重庆市,2084,0,7.0168,0,2014
23,四川省,2171,2,2.6779,0.0025,2014
24,贵州省,2274,1,6.4930,0.0029,2014
25,云南省,1736,4,3.7042,0.0085,2014
26,西    藏,133,0,4.2623,0,2014
27,陕西省,5344,0,14.1977,0,2014
28,甘肃省,6344,1,24.5684,0.0039,2014
29,青海省,707,0,12.2363,0,2014
30,宁    夏,1469,0,22.4553,0,2014
31,新疆,2109,1,9.3141,0.0044,2014
32,建设兵团,127,0,4.7012,0,2014
0,全    国,195723,8,14.3653,0.0006,2015
1,北京市,3439,1,15.9835,0.0046,2015
2,天津市,1001,1,6.5994,0.0066,2015
3,河北省,22537,1,30.5224,0.0014,2015
4,山西省,6232,0,17.0835,0,2015
5,内蒙古,1378,0,5.5014,0,2015
6,辽宁省,1498,0,3.4115,0,2015
7,吉林省,645,0,2.3434,0,2015
8,黑龙江省,431,0,1.1244,0,2015
9,上海市,6031,0,24.8631,0,2015
10,江苏省,4102,1,5.1532,0.0013,2015
11,浙江省,7970,0,14.4699,0,2015
12,安徽省,11256,1,18.5043,0.0016,2015
13,福建省,8236,0,21.6395,0,2015
14,江西省,8377,0,18.4428,0,2015
15,山东省,4919,0,5.0248,0,2015
16,河南省,17522,0,18.5693,0,2015
17,湖北省,9201,0,15.8202,0,2015
18,湖南省,8705,0,12.9207,0,2015
19,广东省,46219,1,43.0987,0.0009,2015
20,广    西,4464,0,9.3900,0,2015
21,海南省,703,0,7.7810,0,2015
22,重庆市,2357,1,7.8793,0.0033,2015
23,四川省,2543,0,3.1240,0,2015
24,贵州省,3329,0,9.4897,0,2015
25,云南省,1958,0,4.1537,0,2015
26,西    藏,20,0,0.6298,0,2015
27,陕西省,3592,0,9.5149,0,2015
28,甘肃省,5056,0,19.5154,0,2015
29,青海省,276,1,4.7307,0.0171,2015
30,宁    夏,925,0,13.9825,0,2015
31,新疆,801,0,3.4849,0,2015
32,建设兵团,60,0,2.1955,0,2015
0,全    国,306682,56,22.5093,0.0041,2016
1,北京市,20279,6,94.2508,0.0279,2016
2,天津市,2387,1,15.7370,0.0066,2016
3,河北省,28814,2,39.0235,0.0027,2016
4,山西省,7484,0,20.5156,0,2016
5,内蒙古,2135,0,8.5236,0,2016
6,辽宁省,2026,0,4.6140,0,2016
7,吉林省,878,0,3.1900,0,2016
8,黑龙江省,1052,0,2.7446,0,2016
9,上海市,4771,0,19.6687,0,2016
10,江苏省,5218,0,6.5552,0,2016
11,浙江省,14394,2,26.1329,0.0036,2016
12,安徽省,14451,0,23.7568,0,2016
13,福建省,10332,1,27.1466,0.0026,2016
14,江西省,9462,2,20.8315,0.0044,2016
15,山东省,7187,16,7.3416,0.0163,2016
16,河南省,22148,3,23.4718,0.0032,2016
17,湖北省,11610,0,19.9622,0,2016
18,湖南省,15874,1,23.5616,0.0015,2016
19,广东省,84209,8,78.5239,0.0075,2016
20,广    西,8595,0,18.0795,0,2016
21,海南省,1047,0,11.5885,0,2016
22,重庆市,3152,2,10.5369,0.0067,2016
23,四川省,3991,1,4.9028,0.0012,2016
24,贵州省,3419,0,9.7462,0,2016
25,云南省,2656,0,5.6344,0,2016
26,西    藏,11,0,0.3464,0,2016
27,陕西省,5975,0,15.8273,0,2016
28,甘肃省,8479,8,32.7276,0.0309,2016
29,青海省,767,0,13.1466,0,2016
30,宁    夏,1434,1,21.6767,0.0151,2016
31,新疆,2445,2,10.6375,0.0087,2016
32,建设兵团,103,0,3.7689,0,2016
