,地区,发病数,死亡数,发病率,死亡率,年份,总人口数
0,北京市,8,0,0.054,0.0,2004,1493
1,天津市,13,0,0.1399,0.0,2004,1024
2,河北省,1923,0,2.8283,0.0,2004,6809
3,山西省,57,0,0.172,0.0,2004,3335
4,内蒙古,106,0,0.4446,0.0,2004,2393
5,辽宁省,4,0,0.0096,0.0,2004,4217
6,吉林省,4,0,0.015,0.0,2004,2709
7,上海市,15,0,0.1121,0.0,2004,1835
8,江苏省,370,0,0.4889,0.0,2004,7523
9,浙江省,3780,0,8.043,0.0,2004,4925
10,安徽省,744,0,1.1547,0.0,2004,6228
11,福建省,685,0,1.9051,0.0,2004,3529
12,江西省,1497,0,3.4948,0.0,2004,4284
13,山东省,157,0,0.1712,0.0,2004,9180
14,河南省,772,0,0.7965,0.0,2004,9717
15,湖北省,159,0,0.2646,0.0,2004,5698
16,湖南省,1010,0,1.5121,0.0,2004,6698
17,广东省,4973,1,6.252,0.0013,2004,9111
18,广西,8605,0,17.7209,0.0,2004,4889
19,海南省,125,0,1.5352,0.0,2004,818
20,重庆市,3351,0,10.7057,0.0,2004,2793
21,四川省,12560,11,14.4138,0.0126,2004,8090
22,贵州省,5583,2,14.6039,0.0052,2004,3904
23,云南省,3,0,0.0069,0.0,2004,4415
24,西藏,429,0,16.4267,0.0,2004,276
25,陕西省,1050,0,2.8703,0.0,2004,3681
26,甘肃省,978,0,3.7416,0.0,2004,2541
27,青海省,230,1,4.2627,0.0185,2004,539
28,新疆,95,0,0.5106,0.0,2004,1963
29,北京市,120,0,0.7811,0.0,2005,1538
30,天津市,377,1,3.6197,0.0096,2005,1043
31,河北省,3916,0,5.7508,0.0,2005,6851
32,山西省,79,0,0.2369,0.0,2005,3355
33,内蒙古,54,0,0.2274,0.0,2005,2403
34,辽宁省,66,0,0.1565,0.0,2005,4221
35,吉林省,30,0,0.1107,0.0,2005,2716
36,上海市,8,0,0.045,0.0,2005,1890
37,江苏省,1028,0,1.3783,0.0,2005,7588
38,浙江省,1998,0,4.0997,0.0,2005,4991
39,安徽省,1097,0,1.8036,0.0,2005,6120
40,福建省,477,0,1.3574,0.0,2005,3557
41,江西省,1266,0,2.9597,0.0,2005,4311
42,山东省,96,0,0.1044,0.0,2005,9248
43,河南省,1885,1,2.0201,0.0011,2005,9380
44,湖北省,1205,1,2.1168,0.0018,2005,5710
45,湖南省,664,0,1.055,0.0,2005,6326
46,广东省,5913,2,6.4765,0.0022,2005,9194
47,海南省,351,0,4.277,0.0,2005,828
48,重庆市,2343,0,8.3989,0.0,2005,2798
49,四川省,5157,0,6.2981,0.0,2005,8212
50,贵州省,6838,0,18.4677,0.0,2005,3730
51,云南省,3753,0,8.5011,0.0,2005,4450
52,陕西省,342,0,0.923,0.0,2005,3690
53,甘肃省,1110,0,4.3049,0.0,2005,2545
54,青海省,190,0,3.5323,0.0,2005,543
55,北京市,290,0,1.8855,0.0,2006,1601
56,天津市,1676,0,16.069,0.0,2006,1075
57,河北省,7117,0,10.3883,0.0,2006,6898
58,山西省,721,0,2.149,0.0,2006,3375
59,内蒙古,2291,0,9.6018,0.0,2006,2415
60,辽宁省,89,0,0.2109,0.0,2006,4271
61,吉林省,50,0,0.1841,0.0,2006,2723
62,黑龙江省,24,0,0.0628,0.0,2006,3823
63,上海市,77,0,0.4331,0.0,2006,1964
64,江苏省,4658,0,6.2314,0.0,2006,7656
65,浙江省,4298,1,8.775,0.002,2006,5072
66,安徽省,1431,0,2.3382,0.0,2006,6110
67,福建省,614,0,1.7369,0.0,2006,3585
68,江西省,2039,1,4.7298,0.0023,2006,4339
69,山东省,163,0,0.1763,0.0,2006,9309
70,河南省,2991,0,3.1887,0.0,2006,9392
71,湖北省,1565,0,2.7408,0.0,2006,5693
72,湖南省,894,0,1.4132,0.0,2006,6342
73,广东省,8070,0,8.7775,0.0,2006,9442
74,海南省,48,0,0.5797,0.0,2006,836
75,重庆市,1161,0,4.1494,0.0,2006,2808
76,四川省,2054,0,2.5012,0.0,2006,8169
77,贵州省,1764,0,4.7292,0.0,2006,3690
78,云南省,4487,1,10.0833,0.0022,2006,4483
79,陕西省,354,0,0.9516,0.0,2006,3699
80,甘肃省,4212,0,16.2374,0.0,2006,2547
81,青海省,177,0,3.2597,0.0,2006,548
82,北京市,221,0,1.3978,0.0,2007,1676
83,天津市,831,0,7.7302,0.0,2007,1115
84,河北省,8679,0,12.5819,0.0,2007,6943
85,山西省,265,0,0.7852,0.0,2007,3393
86,内蒙古,293,0,1.2224,0.0,2007,2429
87,辽宁省,129,0,0.302,0.0,2007,4298
88,吉林省,167,0,0.6133,0.0,2007,2730
89,黑龙江省,52,0,0.136,0.0,2007,3824
90,上海市,404,0,2.2259,0.0,2007,2064
91,江苏省,1969,0,2.6079,0.0,2007,7723
92,浙江省,936,0,1.8795,0.0,2007,5155
93,安徽省,925,0,1.5139,0.0,2007,6118
94,福建省,361,0,1.0146,0.0,2007,3612
95,江西省,1093,0,2.5189,0.0,2007,4368
96,山东省,292,0,0.3137,0.0,2007,9367
97,河南省,2710,0,2.8854,0.0,2007,9360
98,湖北省,1802,0,3.1653,0.0,2007,5699
99,湖南省,1918,1,3.0243,0.0016,2007,6355
100,广东省,2800,0,3.0095,0.0,2007,9660
101,海南省,100,0,1.1962,0.0,2007,845
102,重庆市,669,0,2.3825,0.0,2007,2816
103,四川省,1732,0,2.1202,0.0,2007,8127
104,贵州省,1063,0,2.8293,0.0,2007,3632
105,云南省,435,0,0.9703,0.0,2007,4514
106,陕西省,348,0,0.9317,0.0,2007,3708
107,甘肃省,3689,0,14.1557,0.0,2007,2548
108,青海省,103,0,1.8796,0.0,2007,552
109,新疆,431,1,2.1024,0.0049,2007,2095
110,北京市,335,0,2.0514,0.0,2008,1771
111,天津市,597,0,5.3542,0.0,2008,1176
112,河北省,11615,0,16.7291,0.0,2008,6989
113,山西省,172,0,0.5069,0.0,2008,3411
114,内蒙古,48,0,0.1996,0.0,2008,2444
115,辽宁省,62,0,0.1443,0.0,2008,4315
116,吉林省,149,1,0.5458,0.0037,2008,2734
117,黑龙江省,84,0,0.2197,0.0,2008,3825
118,上海市,269,0,1.4478,0.0,2008,2141
119,江苏省,575,0,0.7541,0.0,2008,7762
120,浙江省,894,0,1.7668,0.0,2008,5212
121,安徽省,675,0,1.1033,0.0,2008,6135
122,福建省,884,0,2.4686,0.0,2008,3639
123,江西省,1680,0,3.8461,0.0,2008,4400
124,山东省,429,0,0.458,0.0,2008,9417
125,河南省,3594,0,3.8397,0.0,2008,9429
126,湖北省,1834,0,3.2181,0.0,2008,5711
127,湖南省,3621,0,5.6979,0.0,2008,6380
128,广东省,3334,1,3.5284,0.0011,2008,9893
129,海南省,63,0,0.7456,0.0,2008,854
130,重庆市,1787,0,6.3459,0.0,2008,2839
131,四川省,1707,0,2.1004,0.0,2008,8138
132,贵州省,1612,0,4.285,0.0,2008,3596
133,云南省,395,1,0.8751,0.0022,2008,4543
134,陕西省,346,0,0.9232,0.0,2008,3718
135,甘肃省,2522,0,9.6369,0.0,2008,2551
136,青海省,47,0,0.8515,0.0,2008,554
137,新疆,600,0,2.864,0.0,2008,2131
138,北京市,5147,5,30.3658,0.0295,2009,1860
139,天津市,707,0,6.0119,0.0,2009,1228
140,河北省,15081,0,21.5786,0.0,2009,7034
141,山西省,2456,0,7.2011,0.0,2009,3427
142,内蒙古,1918,0,7.9462,0.0,2009,2458
143,辽宁省,775,0,1.7962,0.0,2009,4341
144,吉林省,343,0,1.2546,0.0,2009,2740
145,黑龙江省,1407,0,3.6785,0.0,2009,3826
146,上海市,1391,0,7.3658,0.0,2009,2210
147,江苏省,5255,0,6.8449,0.0,2009,7810
148,浙江省,7288,0,14.2344,0.0,2009,5276
149,安徽省,3490,2,5.6887,0.0033,2009,6131
150,福建省,6041,0,16.6301,0.0,2009,3666
151,江西省,6257,0,14.2205,0.0,2009,4432
152,山东省,4559,2,4.8411,0.0021,2009,9470
153,河南省,8849,0,9.3849,0.0,2009,9487
154,湖北省,15444,0,27.0425,0.0,2009,5720
155,湖南省,19514,0,30.5633,0.0,2009,6406
156,广东省,20155,0,21.118,0.0,2009,10130
157,海南省,576,0,6.7448,0.0,2009,864
158,重庆市,11640,0,41.0004,0.0,2009,2859
159,四川省,9517,1,11.6308,0.0012,2009,8185
160,贵州省,10472,1,27.6398,0.0026,2009,3537
161,云南省,7664,0,16.8699,0.0,2009,4571
162,陕西省,6287,2,16.7119,0.0053,2009,3727
163,甘肃省,7966,0,30.3106,0.0,2009,2555
164,青海省,211,0,3.8066,0.0,2009,557
165,新疆,2948,0,13.8352,0.0,2009,2159
166,北京市,830,0,4.7293,0.0,2010,1962
167,天津市,523,0,4.2584,0.0,2010,1299
168,河北省,13679,0,19.4459,0.0,2010,7194
169,山西省,787,0,2.2962,0.0,2010,3574
170,内蒙古,338,3,1.3955,0.0124,2010,2472
171,辽宁省,1240,0,2.871,0.0,2010,4375
172,吉林省,717,0,2.6172,0.0,2010,2747
173,黑龙江省,537,0,1.4036,0.0,2010,3833
174,上海市,2429,0,12.6444,0.0,2010,2303
175,江苏省,2267,0,2.9346,0.0,2010,7869
176,浙江省,3257,0,6.2876,0.0,2010,5447
177,安徽省,2664,0,4.3451,0.0,2010,5957
178,福建省,2101,0,5.7927,0.0,2010,3693
179,江西省,2550,0,5.7534,0.0,2010,4462
180,山东省,3075,0,3.247,0.0,2010,9588
181,河南省,3936,1,4.1488,0.0011,2010,9405
182,湖北省,1994,0,3.486,0.0,2010,5728
183,湖南省,4390,0,6.8529,0.0,2010,6570
184,广东省,5957,1,6.1807,0.001,2010,10441
185,海南省,206,0,2.3841,0.0,2010,869
186,重庆市,960,1,3.3578,0.0035,2010,2885
187,四川省,1530,1,1.8693,0.0012,2010,8045
188,贵州省,1256,0,3.307,0.0,2010,3479
189,云南省,723,0,1.5817,0.0,2010,4602
190,陕西省,640,0,1.6967,0.0,2010,3735
191,甘肃省,2276,0,8.6361,0.0,2010,2560
192,青海省,97,0,1.7405,0.0,2010,563
193,新疆,899,0,4.1647,0.0,2010,2185
194,北京市,391,1,1.9936,0.0051,2011,2019
195,天津市,415,0,3.2075,0.0,2011,1355
196,河北省,16423,2,22.8559,0.0028,2011,7241
197,山西省,1584,0,4.4355,0.0,2011,3593
198,内蒙古,518,0,2.0966,0.0,2011,2482
199,辽宁省,242,0,0.5532,0.0,2011,4383
200,吉林省,266,0,0.9686,0.0,2011,2749
201,黑龙江省,267,0,0.6969,0.0,2011,3834
202,上海市,1315,0,5.7126,0.0,2011,2347
203,江苏省,1006,1,1.2789,0.0013,2011,7899
204,浙江省,1995,0,3.6655,0.0,2011,5463
205,安徽省,3264,0,5.4857,0.0,2011,5968
206,福建省,2278,0,6.1744,0.0,2011,3720
207,江西省,3845,0,8.6273,0.0,2011,4488
208,山东省,2313,0,2.4146,0.0,2011,9637
209,河南省,6262,0,6.6595,0.0,2011,9388
210,湖北省,3113,0,5.4387,0.0,2011,5758
211,湖南省,5256,0,8.002,0.0,2011,6596
212,广东省,4599,0,4.4093,0.0,2011,10505
213,海南省,101,0,1.1647,0.0,2011,877
214,重庆市,1152,0,3.9936,0.0,2011,2919
215,四川省,1467,0,1.8242,0.0,2011,8050
216,贵州省,878,0,2.5269,0.0,2011,3469
217,云南省,971,0,2.1124,0.0,2011,4631
218,陕西省,1348,0,3.6113,0.0,2011,3743
219,甘肃省,2724,0,10.6509,0.0,2011,2564
220,青海省,148,0,2.6303,0.0,2011,568
221,新疆,216,0,0.9901,0.0,2011,2209
222,北京市,1003,0,4.9688,0.0,2012,2069
223,天津市,1004,1,7.4119,0.0074,2012,1413
224,河北省,20734,0,28.6361,0.0,2012,7288
225,山西省,6209,0,17.2795,0.0,2012,3611
226,内蒙古,1759,0,7.0879,0.0,2012,2490
227,辽宁省,898,0,2.0488,0.0,2012,4389
228,吉林省,886,0,3.2225,0.0,2012,2750
229,黑龙江省,454,0,1.1841,0.0,2012,3834
230,上海市,4034,0,17.1845,0.0,2012,2380
231,江苏省,2809,0,3.5562,0.0,2012,7920
232,浙江省,2903,0,5.3139,0.0,2012,5477
233,安徽省,5660,0,9.4839,0.0,2012,5988
234,福建省,4571,0,12.2876,0.0,2012,3748
235,江西省,5222,0,11.6344,0.0,2012,4504
236,山东省,4148,0,4.3041,0.0,2012,9685
237,河南省,11018,0,11.7363,0.0,2012,9406
238,湖北省,5474,0,9.5068,0.0,2012,5779
239,湖南省,6593,1,9.9961,0.0015,2012,6639
240,广东省,12947,1,12.3246,0.001,2012,10594
241,海南省,415,0,4.73,0.0,2012,887
242,重庆市,2560,0,8.7701,0.0,2012,2945
243,四川省,2455,0,3.0497,0.0,2012,8076
244,贵州省,1834,0,5.2868,0.0,2012,3484
245,云南省,2071,1,4.472,0.0022,2012,4659
246,陕西省,4218,0,11.2702,0.0,2012,3753
247,甘肃省,5194,0,20.2559,0.0,2012,2578
248,青海省,254,0,4.4705,0.0,2012,573
249,新疆,896,0,4.0567,0.0,2012,2233
250,北京市,2368,2,11.4435,0.0097,2013,2115
251,天津市,631,0,4.4652,0.0,2013,1472
252,河北省,21082,0,28.9289,0.0,2013,7333
253,山西省,5954,0,16.4893,0.0,2013,3630
254,内蒙古,1649,0,6.6229,0.0,2013,2498
255,辽宁省,1313,0,2.9916,0.0,2013,4390
256,吉林省,584,0,2.1233,0.0,2013,2751
257,黑龙江省,154,0,0.4017,0.0,2013,3835
258,上海市,2120,1,8.906,0.0042,2013,2415
259,江苏省,2450,0,3.0934,0.0,2013,7939
260,浙江省,3302,0,6.0288,0.0,2013,5498
261,安徽省,5983,0,9.9917,0.0,2013,6030
262,福建省,4775,1,12.7401,0.0027,2013,3774
263,江西省,5773,1,12.8178,0.0022,2013,4522
264,山东省,3877,0,4.0032,0.0,2013,9733
265,河南省,13505,3,14.3579,0.0032,2013,9413
266,湖北省,3469,0,6.0028,0.0,2013,5799
267,湖南省,8136,2,12.255,0.003,2013,6691
268,广东省,17327,2,16.3555,0.0019,2013,10644
269,海南省,536,0,6.0459,0.0,2013,895
270,重庆市,1966,1,6.6757,0.0034,2013,2970
271,四川省,1971,0,2.4405,0.0,2013,8107
272,贵州省,2781,0,7.9822,0.0,2013,3502
273,云南省,2839,0,6.0936,0.0,2013,4687
274,陕西省,4936,0,13.1518,0.0,2013,3764
275,甘肃省,4916,0,19.0724,0.0,2013,2582
276,青海省,487,0,8.4966,0.0,2013,578
277,新疆,909,0,4.0712,0.0,2013,2264
278,北京市,10376,5,49.0637,0.0236,2014,2152
279,天津市,2313,2,15.7111,0.0136,2014,1517
280,河北省,25054,1,34.1679,0.0014,2014,7384
281,山西省,8109,1,22.3401,0.0028,2014,3648
282,内蒙古,2376,0,9.5131,0.0,2014,2505
283,辽宁省,1751,0,3.9886,0.0,2014,4391
284,吉林省,1063,0,3.8637,0.0,2014,2752
285,黑龙江省,796,2,2.0756,0.0052,2014,3833
286,上海市,4872,0,20.1727,0.0,2014,2426
287,江苏省,3998,1,5.0356,0.0013,2014,7960
288,浙江省,9700,1,17.6428,0.0018,2014,5508
289,安徽省,9652,4,16.0072,0.0066,2014,6083
290,福建省,8503,1,22.5305,0.0026,2014,3806
291,江西省,8036,0,17.7703,0.0,2014,4542
292,山东省,6153,2,6.3215,0.0021,2014,9789
293,河南省,15639,3,16.6136,0.0032,2014,9436
294,湖北省,5065,2,8.7343,0.0034,2014,5816
295,湖南省,10617,3,15.8685,0.0045,2014,6737
296,广东省,50788,3,47.7151,0.0028,2014,10724
297,海南省,863,0,9.6394,0.0,2014,903
298,重庆市,2084,0,7.0168,0.0,2014,2991
299,四川省,2171,2,2.6779,0.0025,2014,8140
300,贵州省,2274,1,6.493,0.0029,2014,3508
301,云南省,1736,4,3.7042,0.0085,2014,4714
302,陕西省,5344,0,14.1977,0.0,2014,3775
303,甘肃省,6344,1,24.5684,0.0039,2014,2591
304,青海省,707,0,12.2363,0.0,2014,583
305,新疆,2109,1,9.3141,0.0044,2014,2298
306,北京市,3439,1,15.9835,0.0046,2015,2171
307,天津市,1001,1,6.5994,0.0066,2015,1547
308,河北省,22537,1,30.5224,0.0014,2015,7425
309,山西省,6232,0,17.0835,0.0,2015,3664
310,内蒙古,1378,0,5.5014,0.0,2015,2511
311,辽宁省,1498,0,3.4115,0.0,2015,4382
312,吉林省,645,0,2.3434,0.0,2015,2753
313,黑龙江省,431,0,1.1244,0.0,2015,3812
314,上海市,6031,0,24.8631,0.0,2015,2415
315,江苏省,4102,1,5.1532,0.0013,2015,7976
316,浙江省,7970,0,14.4699,0.0,2015,5539
317,安徽省,11256,1,18.5043,0.0016,2015,6144
318,福建省,8236,0,21.6395,0.0,2015,3839
319,江西省,8377,0,18.4428,0.0,2015,4566
320,山东省,4919,0,5.0248,0.0,2015,9847
321,河南省,17522,0,18.5693,0.0,2015,9480
322,湖北省,9201,0,15.8202,0.0,2015,5852
323,湖南省,8705,0,12.9207,0.0,2015,6783
324,广东省,46219,1,43.0987,0.0009,2015,10849
325,海南省,703,0,7.781,0.0,2015,911
326,重庆市,2357,1,7.8793,0.0033,2015,3017
327,四川省,2543,0,3.124,0.0,2015,8204
328,贵州省,3329,0,9.4897,0.0,2015,3530
329,云南省,1958,0,4.1537,0.0,2015,4742
330,陕西省,3592,0,9.5149,0.0,2015,3793
331,甘肃省,5056,0,19.5154,0.0,2015,2600
332,青海省,276,1,4.7307,0.0171,2015,588
333,新疆,801,0,3.4849,0.0,2015,2360
334,北京市,20279,6,94.2508,0.0279,2016,2173
335,天津市,2387,1,15.737,0.0066,2016,1562
336,河北省,28814,2,39.0235,0.0027,2016,7470
337,山西省,7484,0,20.5156,0.0,2016,3682
338,内蒙古,2135,0,8.5236,0.0,2016,2520
339,辽宁省,2026,0,4.614,0.0,2016,4378
340,吉林省,878,0,3.19,0.0,2016,2733
341,黑龙江省,1052,0,2.7446,0.0,2016,3799
342,上海市,4771,0,19.6687,0.0,2016,2420
343,江苏省,5218,0,6.5552,0.0,2016,7999
344,浙江省,14394,2,26.1329,0.0036,2016,5590
345,安徽省,14451,0,23.7568,0.0,2016,6196
346,福建省,10332,1,27.1466,0.0026,2016,3874
347,江西省,9462,2,20.8315,0.0044,2016,4592
348,山东省,7187,16,7.3416,0.0163,2016,9947
349,河南省,22148,3,23.4718,0.0032,2016,9532
350,湖北省,11610,0,19.9622,0.0,2016,5885
351,湖南省,15874,1,23.5616,0.0015,2016,6822
352,广东省,84209,8,78.5239,0.0075,2016,10999
353,海南省,1047,0,11.5885,0.0,2016,917
354,重庆市,3152,2,10.5369,0.0067,2016,3048
355,四川省,3991,1,4.9028,0.0012,2016,8262
356,贵州省,3419,0,9.7462,0.0,2016,3555
357,云南省,2656,0,5.6344,0.0,2016,4771
358,陕西省,5975,0,15.8273,0.0,2016,3813
359,甘肃省,8479,8,32.7276,0.0309,2016,2610
360,青海省,767,0,13.1466,0.0,2016,593
361,新疆,2445,2,10.6375,0.0087,2016,2398
